restockMaster[state],restockMaster[productDescription],restockMaster[productName],restockMaster[location],restockMaster[vendor],restockMaster[brand],restockMaster[primaryCategory],restockMaster[subCategory],restockMaster[productGramsMapped],[SumtransactionItemsTotalBeforeTax],[Quantity],[Qty_Sold___Day],[Days_in_Stock],[Adj_Qty_Sold___Day],[SumtransactionItemsTotalCost],[GP],[SumtransactionItemsTotalDiscount],[SuminventoryQuantity],[SuminventoryCost],[Avg_Inventory_Age],[Avg_Cost],[Avg_Price],[Avg_Margin],[Par],[Par__Adj_],[Weekly_Usage],[Restock_Amt],[Restock__],[DOS],[Adj_Restock_Amt],[Adj_Restock__],[DOS__Adj_]
Florida,MUV Pills Capsule 0.3g,MÜV THC Fast Acting Capsules 300mg  [30-Pack],MUV-Apollo Beach,Verano,MUV,Edible,Pills,0.3 g,1488.71,73,1.21667,61,1.196721311,132.1616028,1356.548397,1486.04,0,0,,1.81,20.39,0.911224078,25.55007,25,9,34.07,61.67,0,34,61.54,0
Maryland,Swift Lifts Multi-Pack 3.5g,Swift Lifts Short Lifts Blueberry Muffins Pre-Rolls 3.5g Multipack,ZEN-Elkridge,Verano,Swift Lifts,Pre-Roll,Multi-Pack,3.5 g,1488.67,48,0.8,36,1.333333333,1056,432.67,647.33,36,792,28,22,31.01,0.290641982,16.8,28,6,-13.6,-299.2,45,1,22,27
Florida,MUV Whole Buds 3.5g,MÜV GMO Jungle Cake 3.5g,MUV-Port Orange,Verano,MUV,Flower,Whole Buds,3.5 g,1488.63,57,0.95,61,0.93442623,194.4322593,1294.197741,1375.62,50,186.9540955,34.5,3.41,26.12,0.869388458,19.95,20,7,-23.4,-79.79,52.63157895,-24,-81.84,53.50877193
Florida,Savvy Cartridge 2g,Savvy Extra Sour Tangie 2g,MUV-Okeechobee,Verano,Savvy,Vape,Cartridge,2 g,1488.59,34,0.56667,61,0.557377049,550.7001085,937.8898915,1545.91,30,550.7001085,19.5,16.2,43.78,0.630052527,11.90007,12,4,-14.13,-228.91,52.94086505,-14,-226.8,53.82352941
Maryland,Rythm Small Buds 7g,RYTHM Donut Trip 7.0g Smalls,ZEN-Pasadena,GTI,Rythm,Flower,Small Buds,7 g,1488.4,32,0.53333,61,0.524590164,936,552.4,767.6,5,146.25,109,29.25,46.51,0.371136791,11.19993,11,4,9.93,290.45,9.375058594,10,292.5,9.53125
Illinois,High Supply Small Buds 7g,High Supply Gas Station Sushi 7g Smalls,ZEN-Naperville,Cresco,High Supply,Flower,Small Buds,7 g,1488.27,35,0.58333,61,0.573770492,850.66,637.61,804.23,15,365.7,38,24.3,42.52,0.428423606,12.24993,12,4,1.33,32.32,25.71443265,1,24.3,26.14285714
Illinois,(the) Essence Whole Buds 7g,(the) Essence Do Si Dos 7g Flower,ZEN-Lombard,Verano,(the) Essence,Flower,Whole Buds,7 g,1488.23,36,0.6,21,1.714285714,1260,228.23,1058.77,0,0,,35,41.34,0.153356672,12.6,36,4,16.8,588,0,48,1680,0
Illinois,Savvy Flower 28g,Savvy Starkiller 28g Flower,ZEN-Evanston,Verano,Savvy,Flower,Flower,28 g,1488.18,15,0.25,27,0.555555556,1425,63.18,1369.32,9,855,26,95,99.21,0.042454542,5.25,12,2,-2,-190,36,7,665,16.2
Virginia,Savvy All In One 2g,V Vape Cart - 2g - Blue Raz Haze - Savvy HYPHEN AIO,ZEN-Norfolk,Verano,Savvy,Vape,All In One,2 g,1488.17,14,0.23333,47,0.29787234,1007.5593,480.6107,534.83,24,1728,26,71.97,106.3,0.322954165,4.89993,6,2,-17.47,-1257.32,102.8586123,-16,-1151.52,80.57142857
Florida,Savvy Flower 7g,Savvy Guava Casquitos 7g,MUV-Winter Haven,Verano,Savvy,Flower,Flower,7 g,1488.15,50,0.83333,14,3.571428571,352.7002634,1135.449737,774.35,0,0,,7.05,29.76,0.762994145,17.49993,75,6,23.33,164.48,0,100,705,0
Florida,(the) Essence Cartridge 1g,(the) Essence Bombsicle 1g,MUV-St. Petersburg,Verano,(the) Essence,Vape,Cartridge,1 g,1488.07,53,0.88333,61,0.868852459,351.2150669,1136.854933,1466.69,24,216.1323489,13,6.63,28.08,0.763979472,18.54993,18,6,0.73,4.84,27.16991385,0,0,27.62264151
Florida,Savvy Flower 7g,Savvy Fruit Pops 7g,MUV-Auburndale,Verano,Savvy,Flower,Flower,7 g,1488.04,54,0.9,57,0.947368421,382.2010522,1105.838948,955.46,76,580.9455993,12.5,7.08,27.56,0.743151359,18.9,20,6,-50.8,-359.66,84.44444444,-49,-346.92,80.22222222
Florida,Sweet Supply Whole Buds 28g,Sweet Supply Pineapple Upside Down Cake 28g,MUV-Cape Coral,Verano,Sweet Supply,Flower,Whole Buds,28 g,1488.02,12,0.2,22,0.545454545,340.3438602,1147.67614,1514.98,0,0,,28.36,124,0.771277362,4.2,11,1,5.6,158.82,0,15,425.4,0
Maryland,Savvy Cartridge 2g,Savvy Extra GMO 2.0g Cartridge,ZEN-Towson,Verano,Savvy,Vape,Cartridge,2 g,1487.72,30,0.5,61,0.491803279,1035,452.72,597.28,29,1000.5,59.5,34.5,49.59,0.304304573,10.5,10,4,-15,-517.5,58,-15,-517.5,58.96666667
Virginia,(the) Essence Multi-Pack 2.5g,V Pre-Roll - Purple Octane x Jealousy - (the) Essence [5pk - 2.5g],ZEN-Hampton,Verano,(the) Essence,Pre-Roll,Multi-Pack,2.5 g,1487.65,50,0.83333,7,7.142857143,875,612.65,287.35,,,,17.5,29.75,0.411824018,17.49993,150,6,23.33,408.28,,200,3500,
Florida,(the) Essence Cartridge Nectar 1g,(the) Essence Nectar Berry Tart 1g,MUV-Bradenton-HG,Verano,(the) Essence,Vape,Cartridge,1 g,1487.62,38,0.63333,61,0.62295082,323.4337666,1164.186233,1390.89,1,9.24096476,62,8.51,39.15,0.782583075,13.29993,13,4,16.73,142.37,1.578955679,16,136.16,1.605263158
Florida,Savvy Flower 3.5g,Savvy Fruit Pops 3.5g,MUV-Ormond Beach,Verano,Savvy,Flower,Flower,3.5 g,1487.41,93,1.55,39,2.384615385,235.6536896,1251.75631,860.84,15,57.01298942,31,2.53,15.99,0.841567766,32.55,50,11,28.4,71.85,9.677419355,52,131.56,6.290322581
Illinois,Savvy Pod 2g,Savvy HYPHEN Peaches and Cream 2g Pod,ZEN-CHI West Loop,Verano,Savvy,Vape,Pod,2 g,1487.29,31,0.51667,61,0.508196721,1147,340.29,822.21,9,333,14,37,47.98,0.228798688,10.85007,11,4,5.47,202.39,17.41924246,5,185,17.70967742
Arizona,Grow Sciences Live Extract Badder 1g,Grow Sciences Permanently Sour Badder 1g Live Resin,ZEN-Gilbert (VL),Grow Sciences,Grow Sciences,Concentrate,Live Extract,1 g,1487.28,67,1.11667,28,2.392857143,1072,415.28,891.22,33,528,31,16,22.2,0.279221129,23.45007,50,8,-1.73,-27.68,29.55215059,34,544,13.79104478
Florida,Edie Parker Cartridge 1g,Edie Parker Lavender Vanilla 1g,MUV-St. Augustine,Verano,Edie Parker,Vape,Cartridge,1 g,1487.28,38,0.63333,61,0.62295082,315.3035592,1171.976441,992.22,18,162.1561161,54,8.3,39.14,0.787999866,13.29993,13,4,-0.27,-2.24,28.42120222,-1,-8.3,28.89473684
Florida,MUV Candy Gummy 0.1g,MÜV Grape Soft Chews 100mg [10-Pack],MUV-Stuart,Verano,MUV,Edible,Candy,0.1 g,1487.22,116,1.93333,61,1.901639344,41.83732854,1445.382671,1499.8,62,56.38944282,18,0.36,12.82,0.97186877,40.59993,40,14,-7.87,-2.83,32.06902081,-9,-3.24,32.60344828
Florida,Savvy All In One 2g,Savvy Fresh Berry 2g All-In-One,MUV-Lady Lake,Verano,Savvy,Vape,All In One,2 g,1487.2,32,0.53333,61,0.524590164,472.6451935,1014.554807,1560.79,15,272.6799193,37,14.77,46.48,0.682191236,11.19993,11,4,-0.07,-1.03,28.12517578,0,0,28.59375
Maryland,Eden Solventless Cured Extract Hash 1g,Eden Solventless Pure Cake Breath Moroccan Hash 1.0g Cured,ZEN-Germantown,Bouquet Labs,Eden Solventless,Concentrate,Cured Extract,1 g,1487.11,35,0.58333,56,0.625,1050,437.11,630.39,0,0,,30,42.49,0.293932527,12.24993,13,4,16.33,489.9,0,18,540,0
Virginia,Uncommon Kind Soft Candy 0.1g,BH Medicated Chew - Prickly Pear Live Rosin - Uncommon Kind [THC -  10pk],ZEN-Norfolk,Jushi,Uncommon Kind,Edible,Candy,0.1 g,1486.95,47,0.78333,60,0.783333333,756.38903,730.56097,228.55,13,213.0556,33,16.09,31.64,0.491315088,16.44993,16,5,8.93,143.68,16.5958153,9,144.81,16.59574468
New Jersey,Kind Tree Whole Buds 7g,Kind Tree White Iverson 7g Flower,ZEN-Elizabeth,TerrAscend,Kind Tree,Flower,Whole Buds,7 g,1486.91,20,0.33333,16,1.25,750,736.91,523.09,0,0,,37.5,74.35,0.495598254,6.99993,26,2,9.33,349.88,0,35,1312.5,0
New Jersey,Rythm Whole Buds 3.5g,Rythm Jack's Delight 3.5g Flower,ZEN-Mount Holly,GTI,Rythm,Flower,Whole Buds,3.5 g,1486.76,48,0.8,44,1.090909091,1080,406.76,1177.24,0,0,,22.5,30.97,0.273588205,16.8,23,6,22.4,504,0,31,697.5,0
Florida,Sweet Supply Whole Buds 3.5g,Sweet Supply Grape Junky 3.5g,MUV-Gainesville,Verano,Sweet Supply,Flower,Whole Buds,3.5 g,1486.75,65,1.08333,45,1.444444444,0,1486.75,1129.5,7,,44,0,22.87,1,22.74993,30,8,23.33,0,6.461558343,33,0,4.846153846
Florida,Verano Multi-Pack 3.5g,Verano Guava Casquitos 3.5g [5-Pack],MUV-Fort Pierce,Verano,Verano,Pre-Roll,Multi-Pack,3.5 g,1486.73,67,1.11667,36,1.861111111,0,1486.73,1578.53,5,,11,0,22.19,1,23.45007,39,8,26.27,0,4.477598574,47,0,2.686567164
Illinois,(the) Essence All In One 1g,(the) Essence Hyphen Northern Lights 1g All-In-One,ZEN-Saint Charles,Verano,(the) Essence,Vape,All In One,1 g,1486.69,48,0.8,47,1.021276596,1416,70.69,1369.31,6,177,13,29.5,30.97,0.047548581,16.8,21,6,16.4,483.8,7.5,23,678.5,5.875
Pennsylvania,(the) Essence Whole Buds 14g,(the) Essence Casey Jones 14g Flower,ZEN-York,Verano,(the) Essence,Flower,Whole Buds,14 g,1486.48,25,0.41667,38,0.657894737,1377.5,108.98,1276.02,0,0,,55.1,59.46,0.073314138,8.75007,14,3,11.67,643.02,0,18,991.8,0
Maryland,Savvy Cartridge 1g,Savvy Sleepover CBN - Cherry Sorbet 1.0g Cartridge,ZEN-Towson,Verano,Savvy,Vape,Cartridge,1 g,1486.43,55,0.91667,61,0.901639344,1205,281.43,741.07,23,460,28,21.91,27.03,0.189332831,19.25007,19,6,2.67,58.5,25.09081785,2,43.82,25.50909091
Connecticut,Savvy Flower 7g,Savvy Jokerz 7g Flower,ZEN-Newington,Verano,Savvy,Flower,Flower,7 g,1486.42,31,0.51667,61,0.508196721,1007.5,478.92,484.08,63,2047.5,83,32.5,47.95,0.322196956,10.85007,11,4,-48.53,-1577.23,121.9346972,-49,-1592.5,123.9677419
Florida,(the) Essence Whole Buds 3.5g,(the) Essence Yuzu Sour 3.5g,MUV-Shalimar,Verano,(the) Essence,Flower,Whole Buds,3.5 g,1486.41,53,0.88333,27,1.962962963,0,1486.41,1176.84,43,,12,0,28.05,1,18.54993,41,6,-18.27,0,48.67942898,12,0,21.90566038
Illinois,Savvy Flower 7g,Savvy Glitter Bomb 7g Flower,ZEN-CHI West Loop,Verano,Savvy,Flower,Flower,7 g,1486.31,40,0.66667,29,1.379310345,1200,286.31,933.69,8,240,28,30,37.16,0.192631416,14.00007,29,5,10.67,320.1,11.99994,31,930,5.8
Arizona,Grow Sciences All In One 2g,Grow Sciences Jelly Live Resin 2g All-In-One,ZEN-Phoenix (Cave Creek),Grow Sciences,Grow Sciences,Vape,All In One,2 g,1486.28,34,0.56667,26,1.307692308,1020,466.28,1216.72,6,180,25,30,43.71,0.313722852,11.90007,27,4,9.87,296.1,10.58817301,31,930,4.588235294
Arizona,Green Dot Labs Live Extract Rosin 1g,Green Dot Labs Final Boss Badder 1g Live Rosin,ZEN-Gilbert (VL),Green Dot Labs,Green Dot Labs,Concentrate,Live Extract,1 g,1486.27,38,0.63333,35,1.085714286,1140,346.27,622.73,10,300,26,30,39.11,0.232979203,13.29993,23,4,7.73,231.9,15.78955679,20,600,9.210526316
Arizona,Grow Sciences Whole Buds 14g,Grow Sciences Super Buff Cherry 14g Flower,ZEN-Chandler,Grow Sciences,Grow Sciences,Flower,Whole Buds,14 g,1486.23,19,0.31667,60,0.316666667,940.5,545.73,802.52,1,49.5,61,49.5,78.22,0.367190812,6.65007,7,2,7.87,389.57,3.157861496,8,396,3.157894737
Florida,Savvy All In One 2g,Savvy Peaches and Cream 2g All-In-One,MUV-Ocala,Verano,Savvy,Vape,All In One,2 g,1486.2,30,0.5,61,0.491803279,454.0333419,1032.166658,1371.29,24,435.8720082,37,15.13,49.54,0.69450051,10.5,10,4,-10,-151.3,48,-10,-151.3,48.8
Maryland,Temple Cured Extract Hash 1g,Temple White 99 Hash Ball 1.0g Cured,ZEN-Pasadena,Bouquet Labs,Temple,Concentrate,Cured Extract,1 g,1486.19,34,0.56667,51,0.666666667,1003.34,482.85,570.81,0,0,,29.51,43.71,0.324891165,11.90007,14,4,15.87,468.32,0,19,560.69,0
Florida,(the) Essence Cartridge Nectar 1g,(the) Essence Nectar Dosilato 1g,MUV-Bradenton-HG,Verano,(the) Essence,Vape,Cartridge,1 g,1486.18,37,0.61667,61,0.606557377,304.9518371,1181.228163,1316.57,25,231.024119,51.5,8.24,40.17,0.794808276,12.95007,13,4,-7.73,-63.7,40.5403214,-8,-65.92,41.21621622
Virginia,(the) Essence Single Pack 1g,V Pre-Roll - Guava Cooler II - (the) Essence [1pk - 1g],ZEN-Hampton,Verano,(the) Essence,Pre-Roll,Single Pack,1 g,1486.15,130,2.16667,22,5.909090909,1105,381.15,788.85,,,,8.5,11.43,0.256468055,45.50007,124,15,60.67,515.7,,165,1402.5,
Illinois,Sol Canna Small Buds 14g,Sol Canna Poly Umami 14g Smalls,ZEN-CHI Rogers Park,Sol Canna,Sol Canna,Flower,Small Buds,14 g,1486.13,20,0.33333,19,1.052631579,750,736.13,923.87,0,0,,37.5,74.31,0.495333517,6.99993,22,2,9.33,349.88,0,29,1087.5,0
Maryland,Old Pal Shake 14g,Old Pal Cherrylicious 14.0g Shake,ZEN-Elkridge,The Cannabist,Old Pal,Flower,Shake,14 g,1486.12,36,0.6,28,1.285714286,900,586.12,511.88,14,350,27,25,41.28,0.394396146,12.6,27,4,2.8,70,23.33333333,22,550,10.88888889
Arizona,Savvy Ground 14g,Savvy The Chauffeur 14g Ground,ZEN-Phoenix (Cave Creek),Verano,Savvy,Flower,Ground,14 g,1486.06,75,1.25,35,2.142857143,1125,361.06,799.44,0,0,,15,19.81,0.242964618,26.25,45,9,35,525,0,60,900,0
Florida,Savvy Cartridge 1g,Savvy Peaches and Cream 1g,MUV-Deltona,Verano,Savvy,Vape,Cartridge,1 g,1486.04,65,1.08333,61,1.06557377,535.6496732,950.3903268,1812.71,39,354.0735128,37,8.24,22.86,0.639545589,22.74993,22,8,-8.67,-71.44,36.00011077,-9,-74.16,36.6
Florida,Sweet Supply Whole Buds 3.5g,Sweet Supply Berry A La Mode 3.5g,MUV-Ft. Myers Colonial,Verano,Sweet Supply,Flower,Whole Buds,3.5 g,1485.99,72,1.2,12,6,204.3814661,1281.608534,1412,0,0,,2.84,20.64,0.862461076,25.2,126,8,33.6,95.42,0,168,477.12,0
Maryland,Rythm Single Pack Infused 1g,RYTHM Remix Blue Z Infused Pre-Roll 1.0g Single,ZEN-Germantown,GTI,Rythm,Pre-Roll,Single Pack,1 g,1485.83,77,1.28333,61,1.262295082,863,622.83,477.67,37,407,33,11.21,19.3,0.419179852,26.94993,27,9,-1.07,-11.99,28.83124372,-2,-22.42,29.31168831
Florida,(the) Essence Whole Buds 28g,(the) Essence Apple MAC 28g,MUV-Brandon,Verano,(the) Essence,Flower,Whole Buds,28 g,1485.67,12,0.2,50,0.24,369.9975761,1115.672424,2117.33,0,0,,30.83,123.81,0.750955747,4.2,5,1,5.6,172.65,0,7,215.81,0
Massachusetts,High Supply Whole Buds 14g,High Supply | Flower Afghani Kush (S) | 14g,ZEN-Sharon,Cresco,High Supply,Flower,Whole Buds,14 g,1485.64,32,0.53333,12,2.666666667,848,637.64,282.36,,,,26.5,46.43,0.429202229,11.19993,56,4,14.93,395.65,,75,1987.5,
Florida,Verano Whole Buds 3.5g,Verano GMO S1 3.5g,MUV-Tallahassee,Verano,Verano,Flower,Whole Buds,3.5 g,1485.61,53,0.88333,61,0.868852459,150.0985633,1335.511437,1177.64,3,11.54604333,76,2.83,28.03,0.898965029,18.54993,18,6,21.73,61.5,3.396239231,21,59.43,3.452830189
West Virginia,Verano Reserve Whole Buds 3.5g,Verano Reserve Glitter Bomb 3.5g Flower,ZEN-Clarksburg,Verano,Verano Reserve,Flower,Whole Buds,3.5 g,1485.54,36,0.6,24,1.5,900,585.54,314.46,0,0,,25,41.27,0.3941597,12.6,32,4,16.8,420,0,42,1050,0
Florida,(the) Essence All In One 1g,(the) Essence HYPHEN Northern Lights AIO 1g,MUV-Spring Hill,Verano,(the) Essence,Vape,All In One,1 g,1485.52,49,0.81667,29,1.689655172,0,1485.52,1736.23,47,,17.5,0,30.32,1,17.15007,35,6,-24.13,0,57.55078551,0,0,27.81632653
Arizona,Timeless Cartridge 1g,Timeless Wet Dream 1g Cartridge,ZEN-Gilbert (VL),Timeless,Timeless,Vape,Cartridge,1 g,1485.5,64,1.06667,61,1.049180328,928,557.5,1681.25,31,449.5,65,14.5,23.21,0.375294514,22.40007,22,7,-1.13,-16.39,29.06240918,-2,-29,29.546875
Florida,MUV Whole Buds 7g,MÜV Rocky Road 7g,MUV-Fort Pierce,Verano,MUV,Flower,Whole Buds,7 g,1485.49,40,0.66667,48,0.833333333,296.468059,1189.021941,2124.51,0,0,,7.41,37.14,0.800424063,14.00007,18,5,18.67,138.34,0,23,170.43,0
Pennsylvania,Good Green Small Buds 28g,Good Green Rsbrry Prfait 28g Smalls,ZEN-Harrisburg,GTI,Good Green,Flower,Small Buds,28 g,1485.45,14,0.23333,58,0.24137931,630,855.45,1041.55,0,0,,45,106.1,0.575886095,4.89993,5,2,6.53,293.85,0,7,315,0
Arizona,High West Farms Whole Buds 14g,High West Farms Highway 14 Grape Gas 14g Flower,ZEN-Phoenix (Emerald),High West Farms,High West Farms,Flower,Whole Buds,14 g,1485.42,35,0.58333,15,2.333333333,630,855.42,596.08,0,0,,18,42.44,0.57587753,12.24993,49,4,16.33,293.94,0,65,1170,0
Pennsylvania,Verano Reserve All In One 1g,Verano Reserve Minty Haze Live Resin 1g All-In-One,ZEN-Malvern,Verano,Verano Reserve,Vape,All In One,1 g,1485.38,48,0.8,26,1.846153846,1416,69.38,1370.62,0,0,,29.5,30.95,0.046708586,16.8,39,6,22.4,660.8,0,52,1534,0
Florida,Savvy Flower 7g,Savvy Cromagnon Man 7g,MUV-Merritt Island,Verano,Savvy,Flower,Flower,7 g,1485.3,48,0.8,7,6.857142857,331.4469265,1153.853074,686.7,0,0,,6.91,30.94,0.776848498,16.8,144,6,22.4,154.78,0,192,1326.72,0
Nevada,Encore Candy Gummy 0.1g,Encore Tropical Mango RSO Gummy 100mg [10pk] Candy,ZEN-North Las Vegas,Verano,Encore,Edible,Candy,0.1 g,1485.3,121,2.01667,61,1.983606557,968,517.3,1479.2,22,176,26,8,12.28,0.348279809,42.35007,42,14,34.47,275.76,10.90907288,34,272,11.09090909
Pennsylvania,Savvy Flower 7g,Savvy Modified Grapes 7g Flower,ZEN-Pittsburgh McKnight,Verano,Savvy,Flower,Flower,7 g,1485.28,48,0.8,60,0.8,1560,-74.72,1802.72,5,162.5,52,32.5,30.94,-0.050307013,16.8,17,6,17.4,565.5,6.25,17,552.5,6.25
Maryland,Grow West Whole Buds 7g,Grow West Wild Flower Strawguava 7.0g Flower,ZEN-Pasadena,Grow West,Grow West,Flower,Whole Buds,7 g,1485.26,34,0.56667,13,2.615384615,850,635.26,231.74,0,0,,25,43.68,0.427709627,11.90007,55,4,15.87,396.75,0,73,1825,0
Florida,MUV Whole Buds 3.5g,MÜV GMO Jungle Cake 3.5g,MUV-Orlando,Verano,MUV,Flower,Whole Buds,3.5 g,1485.2,50,0.83333,61,0.819672131,164.5196041,1320.680396,1027.3,46,171.9977679,19,3.29,29.7,0.889227307,17.49993,17,6,-22.67,-74.58,55.2002208,-23,-75.67,56.12
New Jersey,Savvy Ground 7g,Savvy GRND Yum Yum 7g Ground,ZEN-Elizabeth,Verano,Savvy,Flower,Ground,7 g,1485.18,37,0.61667,35,1.057142857,788.47,696.71,938.32,32,681.92,25,21.31,40.14,0.469108122,12.95007,22,4,-14.73,-313.9,51.8916114,-2,-42.62,30.27027027
Illinois,Swift Lifts Multi-Pack 3.5g,Swift Lifts Short Lifts Lemon Cherry Gelato Pre-Roll 3.5g [10pk],ZEN-CHI Pilsen,Verano,Swift Lifts,Pre-Roll,Multi-Pack,3.5 g,1485.16,53,0.88333,11,4.818181818,1166,319.16,873.34,0,0,,22,28.02,0.214899405,18.54993,101,6,24.73,544.06,0,135,2970,0
Florida,MUV Whole Buds 7g,MÜV Cherry On Top 7g,MUV-Orange City,Verano,MUV,Flower,Whole Buds,7 g,1485.14,37,0.61667,49,0.755102041,271.0965835,1214.043417,1854.11,0,0,,7.33,40.14,0.817460587,12.95007,16,4,17.27,126.59,0,21,153.93,0
Illinois,Savvy Flower 28g,Savvy Lemon Sorbet 28g Flower,ZEN-Evanston,Verano,Savvy,Flower,Flower,28 g,1485.08,13,0.21667,20,0.65,1235,250.08,991.42,11,1045,19,95,114.24,0.168394969,4.55007,14,2,-4.93,-468.35,50.76844972,7,665,16.92307692
Florida,Edie Parker All In One 0.5g,Edie Parker Maui Mango  - AIO 0.5g,MUV-Stuart,Verano,Edie Parker,Vape,All In One,0.5 g,1485.04,44,0.73333,61,0.721311475,183.1645965,1301.875403,725.96,40,178.6971673,32,4.16,33.75,0.87666016,15.39993,15,5,-19.47,-81,54.54570248,-20,-83.2,55.45454545
Pennsylvania,Verano Candy Troche 0.1g,Verano 2:1 Pomegranate Troches 100mg [10pk],ZEN-Sellersville,Verano,Verano,Edible,Candy,0.1 g,1485.04,114,1.9,61,1.868852459,1425,60.04,1421.96,40,500,10,12.5,13.03,0.040429887,39.9,39,13,13.2,165,21.05263158,12,150,21.40350877
Florida,Verano Whole Buds 3.5g,Verano Facetz 3.5g,MUV-Spring Hill,Verano,Verano,Flower,Whole Buds,3.5 g,1485.04,48,0.8,26,1.846153846,0,1485.04,1406.96,72,,7,0,30.94,1,16.8,39,6,-49.6,0,90,-20,0,39
Florida,MUV Multi-Pack 3.5g,MÜV Cherry Punch 3.5g [5-Pack],MUV-Venice,Verano,MUV,Pre-Roll,Multi-Pack,3.5 g,1485.03,77,1.28333,50,1.54,230.6653823,1254.364618,1267.72,0,0,,3,19.29,0.844672914,26.94993,32,9,35.93,107.79,0,43,129,0
Florida,MUV Shake 7g,MÜV Mint Shake 7g,MUV-Ft. Myers Colonial,Verano,MUV,Flower,Shake,7 g,1485.01,27,0.45,23,1.173913043,183.9437607,1301.066239,951.74,0,0,,6.81,55,0.876132982,9.45,25,3,12.6,85.81,0,33,224.73,0
Ohio,Grassroots Whole Buds 14.15g,Curaleaf | Grassroots | Flower | Foreign Kush Mints (I) (27%) | 14.15g,ZEN-Cincinnati,Curaleaf,Grassroots,Flower,Whole Buds,14.15 g,1485,20,0.33333,4,5,880,605,725,,,,44,74.25,0.407407407,6.99993,105,2,9.33,410.52,,140,6160,
Florida,(the) Essence Cartridge 0.5g,(the) Essence Jack Herer 0.5g,MUV-Bradenton-HG,Verano,(the) Essence,Vape,Cartridge,0.5 g,1484.86,76,1.26667,60,1.266666667,214.3878961,1270.472104,1232.14,44,205.0666832,27,2.82,19.54,0.855617435,26.60007,27,9,-8.53,-24.05,34.73675069,-9,-25.38,34.73684211
Florida,MUV Spray 0.25g,MÜV Orange Mint THC Spray 250mg [15mL],MUV-Bradenton-HG,Verano,MUV,Tincture,Spray,0.25 g,1484.85,74,1.23333,61,1.213114754,94.17483825,1390.675162,1160.65,27,60.54096745,30.5,1.27,20.07,0.936576194,25.89993,25,9,7.53,9.56,21.89195106,7,8.89,22.25675676
New Jersey,Savvy Ground 7g,Savvy GRND Dirty Kush Breath 7g Ground,ZEN-Elizabeth,Verano,Savvy,Flower,Ground,7 g,1484.78,48,0.8,7,6.857142857,1022.88,461.9,1659.22,0,0,,21.31,30.93,0.311089858,16.8,144,6,22.4,477.34,0,192,4091.52,0
Connecticut,Rythm Small Buds 7g,Rythm Swamp Water Fumez 7g Smalls,ZEN-Waterbury,GTI,Rythm,Flower,Small Buds,7 g,1484.76,30,0.5,24,1.25,975,509.76,319.24,0,0,,32.5,49.49,0.343328215,10.5,26,4,14,455,0,35,1137.5,0
Massachusetts,Fernway All In One 1g,Fernway | All-In-One Traveler Pro | Pickle (H) | 1g,ZEN-Plymouth,Fernway,Fernway,Vape,All In One,1 g,1484.69,40,0.66667,25,1.6,800,684.69,135.31,10,200,27,20,37.12,0.461166978,14.00007,34,5,8.67,173.4,14.999925,35,700,6.25
Florida,Savvy Flower 3.5g,Savvy B-52 Bomber 3.5g,MUV-Bradenton-HG,Verano,Savvy,Flower,Flower,3.5 g,1484.61,96,1.6,6,16,211.4987583,1273.111242,939.39,0,0,,2.2,15.46,0.85753918,33.6,336,11,44.8,98.56,0,448,985.6,0
Illinois,(the) Essence All In One 0.3g,(the) Essence Blueberry .3g All-In-One,ZEN-CHI Rogers Park,Verano,(the) Essence,Vape,All In One,0.3 g,1484.61,81,1.35,61,1.327868852,1134,350.61,823.89,22,308,19,14,18.33,0.236163033,28.35,28,9,15.8,221.2,16.2962963,15,210,16.56790123
Arizona,Timeless All In One 2g,Timeless Love Potion 2g All-In-One,ZEN-Tempe,Timeless,Timeless,Vape,All In One,2 g,1484.49,40,0.66667,59,0.677966102,1080,404.49,1534.76,4,108,83,27,37.11,0.272477416,14.00007,14,5,14.67,396.09,5.99997,15,405,5.9
Nevada,Stiiizy Single Pack Infused 1g,Stiiizy Live Resin Sour Diesel Infused Pre-Roll 1g [1pk],ZEN-Carson City,Stiiizy,Stiiizy,Pre-Roll,Single Pack,1 g,1484.44,149,2.48333,31,4.806451613,894,590.44,825.06,100,600,30,6,9.96,0.397752688,52.14993,101,17,-30.47,-182.82,40.26851043,35,210,20.80536913
Virginia,Triple Seven Whole Buds 3.5g,gLeaf Flower - 3.5g - Suncake - Triple 7,ZEN-Hampton,The Cannabist,Triple Seven,Flower,Whole Buds,3.5 g,1484.34,29,0.48333,28,1.035714286,870,614.34,270.16,,,,30,51.18,0.413880917,10.14993,22,3,13.53,405.9,,29,870,
Maryland,Rythm Multi-Pack Infused 2.5g,RYTHM Remix Pineapple Express Infused Pre-Roll 2.5g Multipack,ZEN-Towson,GTI,Rythm,Pre-Roll,Multi-Pack,2.5 g,1484.29,38,0.63333,36,1.055555556,793.8,690.49,434.71,98,2098.95,26,20.89,39.06,0.465198849,13.29993,22,4,-80.27,-1676.84,154.7376565,-68,-1420.52,92.84210526
Florida,Sweet Supply Whole Buds 28g,Sweet Supply Fruit Pops 28g,MUV-JAX MP,Verano,Sweet Supply,Flower,Whole Buds,28 g,1484.24,15,0.25,45,0.333333333,431.991487,1052.248513,2269.51,0,0,,28.8,98.95,0.708947686,5.25,7,2,7,201.6,0,9,259.2,0
